/app/YandexSweets/views/orders/orders_assign.py:56: size=896 B (+896 B), count=2 (+2), average=448 B
/app/YandexSweets/views/orders/orders_assign.py:60: size=616 B (+616 B), count=3 (+3), average=205 B
/app/YandexSweets/views/orders/orders_assign.py:55: size=512 B (+512 B), count=1 (+1), average=512 B
/app/YandexSweets/models/courier.py:33: size=496 B (+496 B), count=1 (+1), average=496 B
/app/YandexSweets/views/orders/orders_assign.py:57: size=488 B (+488 B), count=1 (+1), average=488 B
/app/YandexSweets/views/orders/orders_assign.py:49: size=488 B (+488 B), count=1 (+1), average=488 B
/app/YandexSweets/models/order.py:33: size=456 B (+456 B), count=1 (+1), average=456 B
/app/YandexSweets/time_utils.py:18: size=440 B (+440 B), count=1 (+1), average=440 B
/app/YandexSweets/views/orders/orders_assign.py:44: size=432 B (+432 B), count=1 (+1), average=432 B
/app/YandexSweets/time_utils.py:35: size=432 B (+432 B), count=1 (+1), average=432 B
/app/YandexSweets/views/orders/orders_assign.py:46: size=424 B (+424 B), count=1 (+1), average=424 B
/app/YandexSweets/views/orders/orders_assign.py:39: size=424 B (+424 B), count=1 (+1), average=424 B
/app/YandexSweets/views/orders/orders_assign.py:18: size=416 B (+416 B), count=1 (+1), average=416 B
/app/YandexSweets/time_utils.py:17: size=416 B (+416 B), count=1 (+1), average=416 B
/app/YandexSweets/views/orders/orders_assign.py:37: size=408 B (+408 B), count=1 (+1), average=408 B
/app/YandexSweets/views/orders/orders_assign.py:20: size=400 B (+400 B), count=3 (+3), average=133 B
/app/YandexSweets/time_utils.py:16: size=254 B (+254 B), count=4 (+4), average=64 B
/app/YandexSweets/time_utils.py:29: size=250 B (+250 B), count=4 (+4), average=62 B
/app/YandexSweets/views/orders/orders_assign.py:29: size=232 B (+232 B), count=2 (+2), average=116 B
/app/YandexSweets/time_utils.py:6: size=228 B (+228 B), count=4 (+4), average=57 B
/app/YandexSweets/views/orders/orders_assign.py:16: size=144 B (+144 B), count=2 (+2), average=72 B
/app/YandexSweets/time_utils.py:12: size=144 B (+144 B), count=2 (+2), average=72 B
/app/YandexSweets/models/order.py:30: size=144 B (+144 B), count=2 (+2), average=72 B
/app/YandexSweets/models/delivery_pack.py:15: size=144 B (+144 B), count=2 (+2), average=72 B
/app/YandexSweets/models/courier.py:32: size=144 B (+144 B), count=2 (+2), average=72 B
/app/YandexSweets/time_utils.py:13: size=64 B (+64 B), count=1 (+1), average=64 B
/app/YandexSweets/time_utils.py:7: size=64 B (+64 B), count=1 (+1), average=64 B
